Name,PowerState,VMHost
VDI-MBS-151,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-161,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-169,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-177,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-MBS-180,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-NS-002,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-QM-007,PoweredOn,phxesxsvt02.healthchoiceaz.local
VDI-QM-020,PoweredOn,phxesxsvt02.healthchoiceaz.local
OmniStackVC-10-154-25-103,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-BLUE2-004,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-BLUE2-072,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-BLUE2-111,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-BLUE2-116,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-BLUE2-176,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-CLA-004,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-CLA-011,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-CLA-103,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-FT-022,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-FT-024,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-IS-039,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-IS-055,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-IS-078,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-MBS-019,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-MBS-139,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-MBS-204,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-MBS-208,PoweredOn,phxesxsvt03.healthchoiceaz.local
VDI-PDM2-005,PoweredOn,phxesxsvt03.healthchoiceaz.local
OmniStackVC-10-154-25-104,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-BEH-003,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-BLUE2-045,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-CLA-003,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-CLA-016,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-CLA-020,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-CLA-064,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-CLA-077,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-CLA-098,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-DR-MCC-011,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-DR-MCC-019,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-EPSDT-005,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-FIN-018,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-IS-013,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-IS-048,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-003,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-020,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-023,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-030,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-051,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-056,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-064,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-068,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-074,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-093,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-097,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-103,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-107,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-112,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-MBS-117,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-PPALKO,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-PRA-001,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-PRA-004,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-PRA-005,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-PRA-022,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-PRA-028,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-PRA-032,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-PRA-049,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-QM-001,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-QM-016,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-RE-002,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-RX011,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-RX015,PoweredOn,phxesxsvt04.healthchoiceaz.local
VDI-UR-011,PoweredOn,phxesxsvt04.healthchoiceaz.local
OmniStackVC-10-154-25-105,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-BLUE2-335,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CGR-003,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-005,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-007,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-008,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-033,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-034,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-036,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-049,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-052,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-070,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-075,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-087,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-CLA-127,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-EPSDT-006,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-FT-010,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-FT-017,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-FT-HUB,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-MBS-014,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-MBS-015,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-MBS-031,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-MBS-038,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-MBS-040,PoweredOn,phxesxsvt05.healthchoiceaz.local
VDI-MBS-044,PoweredOn,phxesxsvt05.healthchoiceaz.local
